"Your_Fund","Fund_Investment","Your_Fund_Percent","Company","Initial_Investment_Year","Initial_Inv_Qtr_End_Date","Stage_of_First_Investment","Current_Stage","Industry","Geography","As_Of_Date","YF_Currency","Unrealized_Cost_YF_Cur","Realized_Cost_YF_Cur","Total_Cost_YF_Cur","Recent_Value_YF_Cur","Cum_Proceeds_YF_Cur","Total_Value_YF_Cur","FI_Currency","Unrealized_Cost_FI_Cur","Realized_Cost_FI_Cur","Total_Cost_FI_Cur","Recent_Value_FI_Cur","Cum_Proceeds_FI_Cur","Total_Value_FI_Cur","Total_Count","Private_Count","Public_Count","Realized_Count","Write_Off_Count"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 101","2011","30/09/2011","ES","LS","14 Software (SW)","312 China","31/03/2015","USD",5582026,0,5582026,15948124,0,15948124,"USD",5582026,0,5582026,15948124,0,15948124,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 102","2011","30/06/2011","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",5429999,0,5429999,4982743,0,4982743,"USD",5429999,0,5429999,4982743,0,4982743,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 103","2010","31/12/2010","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",0,1029129,1029129,0,0,0,"USD",0,1029129,1029129,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 104","2009","30/09/2009","ES","ES","328 Industrial Products","111 U.S. California","31/03/2015","USD",15510601,620384,16130985,19265312,0,19265312,"USD",15510601,620384,16130985,19265312,0,19265312,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 105","2010","31/12/2010","ES","ES","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",6403806,0,6403806,6846579,0,6846579,"USD",6403806,0,6403806,6846579,0,6846579,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 106","2009","31/12/2009","ES","LS","327 Consumer Products","312 China","31/03/2015","USD",17704000,0,17704000,37816180,0,37816180,"USD",17704000,0,17704000,37816180,0,37816180,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 107","2011","30/09/2011","SS","SS","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",7710000,0,7710000,8277695,0,8277695,"USD",7710000,0,7710000,8277695,0,8277695,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 108","2010","31/12/2010","ES","ES","327 Consumer Products","312 China","31/03/2015","USD",28253820,0,28253820,31482024,0,31482024,"USD",28253820,0,28253820,31482024,0,31482024,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 109","2011","31/03/2011","ES","ES","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",0,9408001,9408001,0,12677999,12677999,"USD",0,9408001,9408001,0,12677999,12677999,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 110","2010","30/06/2010","LS","DC","313 Electronic Commerce","312 China","31/03/2015","USD",0,22824269,22824269,1,4143765,4143766,"USD",0,22824269,22824269,1,4143765,4143766,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 111","2010","30/09/2010","ES","ES","313 Electronic Commerce","312 China","31/03/2015","USD",2525842,0,2525842,0,0,0,"USD",2525842,0,2525842,0,0,0,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 112","2012","31/03/2012","ES","ES","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",5144467,0,5144467,61343662,0,61343662,"USD",5144467,0,5144467,61343662,0,61343662,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 113","2009","31/03/2009","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",0,3250000,3250000,0,0,0,"USD",0,3250000,3250000,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 114","2011","31/12/2011","ES","ES","11 Communications / Networking (CN)","113 U.S. North East","31/03/2015","USD",6034056,0,6034056,6164092,0,6164092,"USD",6034056,0,6034056,6164092,0,6164092,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 115","2014","31/12/2014","SS","SS","313 Electronic Commerce","312 China","31/03/2015","USD",622720,0,622720,622720,0,622720,"USD",622720,0,622720,622720,0,622720,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 116","2014","30/09/2014","LS","LS","316 Restaurants and Food-Service","312 China","31/03/2015","USD",2432500,0,2432500,2458697,0,2458697,"USD",2432500,0,2432500,2458697,0,2458697,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 117","2014","30/06/2014","PU","PU","11 Communications / Networking (CN)","116 U.S. South East","31/03/2015","USD",9730000,0,9730000,7948973,0,7948973,"USD",9730000,0,9730000,7948973,0,7948973,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 118","2013","30/06/2013","ES","ES","49 Oil & Gas","116 U.S. South East","31/03/2015","USD",9730000,0,9730000,9730000,0,9730000,"USD",9730000,0,9730000,9730000,0,9730000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 119","2014","31/03/2014","ES","ES","14 Software (SW)","111 U.S. California","31/03/2015","USD",486500,0,486500,1,0,1,"USD",486500,0,486500,1,0,1,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 120","2014","30/09/2014","ES","ES","43 Energy","111 U.S. California","31/03/2015","USD",3405774,0,3405774,3478774,0,3478774,"USD",3405774,0,3405774,3478774,0,3478774,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 121","2014","31/12/2014","SS","SS","431 Traditional Energy","312 China","31/03/2015","USD",486500,0,486500,486500,0,486500,"USD",486500,0,486500,486500,0,486500,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 122","2014","31/12/2014","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",2919000,0,2919000,2985641,0,2985641,"USD",2919000,0,2919000,2985641,0,2985641,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 123","2014","31/03/2014","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",0,973000,973000,0,1025642,1025642,"USD",0,973000,973000,0,1025642,1025642,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 124","2014","30/09/2014","ES","ES","154 Online Publications and Content Provider","312 China","31/03/2015","USD",3892000,0,3892000,4055713,0,4055713,"USD",3892000,0,3892000,4055713,0,4055713,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 125","2013","30/09/2013","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",1296052,0,1296052,1283566,0,1283566,"USD",1296052,0,1296052,1283566,0,1283566,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 126","2012","31/12/2012","SS","ES","15 Information Services (IS)","312 China","31/03/2015","USD",7297500,0,7297500,421940645,0,421940645,"USD",7297500,0,7297500,421940645,0,421940645,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 82","2011","30/09/2011","ES","ES","12 Electronics / Computer Hardware (EC)","113 U.S. North East","31/03/2015","USD",24408280,0,24408280,28252851,0,28252851,"USD",24408280,0,24408280,28252851,0,28252851,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 127","2013","31/12/2013","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",3892000,0,3892000,3957429,0,3957429,"USD",3892000,0,3892000,3957429,0,3957429,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 128","2013","30/06/2013","ES","ES","331 Business Services","312 China","31/03/2015","USD",2457173,461834,2919007,3214627,0,3214627,"USD",2457173,461834,2919007,3214627,0,3214627,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 129","2014","30/09/2014","ES","ES","15 Information Services (IS)","111 U.S. California","31/03/2015","USD",487936,0,487936,983928,0,983928,"USD",487936,0,487936,983928,0,983928,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 130","2014","30/09/2014","LS","LS","155 Other Online Services","312 China","31/03/2015","USD",3892000,0,3892000,3027136,0,3027136,"USD",3892000,0,3892000,3027136,0,3027136,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 131","2011","31/12/2011","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",15939501,0,15939501,121739972,0,121739972,"USD",15939501,0,15939501,121739972,0,121739972,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 132","2014","31/12/2014","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",291897,0,291897,293232,0,293232,"USD",291897,0,291897,293232,0,293232,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 133","2013","30/09/2013","ES","ES","324 Vehicle and Components Manufacturers","111 U.S. California","31/03/2015","USD",15458934,0,15458934,15876335,0,15876335,"USD",15458934,0,15458934,15876335,0,15876335,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 134","2013","30/06/2013","ES","ES","12 Electronics / Computer Hardware (EC)","315 Taiwan","31/03/2015","USD",1982345,0,1982345,1881348,0,1881348,"USD",1982345,0,1982345,1881348,0,1881348,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 135","2015","31/03/2015","ES","ES","43 Energy","312 China","31/03/2015","USD",973000,0,973000,973000,0,973000,"USD",973000,0,973000,973000,0,973000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 136","2012","30/06/2012","SS","SS","155 Other Online Services","312 China","31/03/2015","USD",15081500,0,15081500,14305733,0,14305733,"USD",15081500,0,15081500,14305733,0,14305733,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 137","2014","31/03/2014",NA,"LS","43 Energy","113 U.S. North East","31/03/2015","USD",9730000,0,9730000,9730000,0,9730000,"USD",9730000,0,9730000,9730000,0,9730000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 138","2014","30/09/2014","LS","LS","11 Communications / Networking (CN)","312 China","31/03/2015","USD",973000,0,973000,973000,0,973000,"USD",973000,0,973000,973000,0,973000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 139","2014","30/06/2014","ES","ES","11 Communications / Networking (CN)","111 U.S. California","31/03/2015","USD",243250,0,243250,243250,0,243250,"USD",243250,0,243250,243250,0,243250,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 140","2012","31/03/2012","FU","FU","334 Financial Institutions and Services","312 China","31/03/2015","USD",11927351,0,11927351,12107972,0,12107972,"USD",11927351,0,11927351,12107972,0,12107972,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 141","2013","30/09/2013","ES","ES","42 Agriculture","113 U.S. North East","31/03/2015","USD",5615459,0,5615459,5865753,0,5865753,"USD",5615459,0,5615459,5865753,0,5865753,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 142","2014","30/09/2014","LS","LS","332 Consumer Services","312 China","31/03/2015","USD",973000,0,973000,973000,0,973000,"USD",973000,0,973000,973000,0,973000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 143","2013","30/09/2013","ES","ES","153 Information Providers","317 Other - Asia Pacific","31/03/2015","USD",9480869,0,9480869,10760347,0,10760347,"USD",9480869,0,9480869,10760347,0,10760347,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 144","2014","30/09/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",2335200,0,2335200,2449966,0,2449966,"USD",2335200,0,2335200,2449966,0,2449966,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 145","2013","30/06/2013","ES","ES","24 Medical Devices and Equipment (MDE)","113 U.S. North East","31/03/2015","USD",6956950,0,6956950,6956950,0,6956950,"USD",6956950,0,6956950,6956950,0,6956950,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 146","2013","31/12/2013","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",486500,0,486500,486500,0,486500,"USD",486500,0,486500,486500,0,486500,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 147","2014","31/12/2014","SS","SS","324 Vehicle and Components Manufacturers","312 China","31/03/2015","USD",973000,0,973000,973000,0,973000,"USD",973000,0,973000,973000,0,973000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 148","2012","30/06/2012","ES","ES","12 Electronics / Computer Hardware (EC)","113 U.S. North East","31/03/2015","USD",19012139,0,19012139,21150012,0,21150012,"USD",19012139,0,19012139,21150012,0,21150012,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 149","2014","30/09/2014","LS","LS","22 Medical Information Systems (MIS)","312 China","31/03/2015","USD",3405500,0,3405500,3457647,0,3457647,"USD",3405500,0,3405500,3457647,0,3457647,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 150","2014","30/06/2014","PU","PU","14 Software (SW)","113 U.S. North East","31/03/2015","USD",3892000,0,3892000,6164955,0,6164955,"USD",3892000,0,3892000,6164955,0,6164955,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 151","2014","31/12/2014","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",486500,0,486500,486500,0,486500,"USD",486500,0,486500,486500,0,486500,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 152","2013","30/09/2013","ES","ES","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",3794700,0,3794700,3948300,0,3948300,"USD",3794700,0,3794700,3948300,0,3948300,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 153","2013","31/12/2013","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",2432500,0,2432500,2507439,0,2507439,"USD",2432500,0,2432500,2507439,0,2507439,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 154","2014","31/12/2014","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",973000,0,973000,973000,0,973000,"USD",973000,0,973000,973000,0,973000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 155","2011","31/12/2011","ES","ES","11 Communications / Networking (CN)","312 China","31/03/2015","USD",5778000,0,5778000,13277261,0,13277261,"USD",5778000,0,5778000,13277261,0,13277261,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 156","2013","31/03/2013","ES","ES","324 Vehicle and Components Manufacturers","116 U.S. South East","31/03/2015","USD",3543451,0,3543451,4503241,0,4503241,"USD",3543451,0,3543451,4503241,0,4503241,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 157","2014","31/12/2014","ES","ES","313 Electronic Commerce","312 China","31/03/2015","USD",486500,0,486500,486500,0,486500,"USD",486500,0,486500,486500,0,486500,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 158","2014","30/09/2014","LS","LS","332 Consumer Services","312 China","31/03/2015","USD",3803546,0,3803546,3328298,0,3328298,"USD",3803546,0,3803546,3328298,0,3328298,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 159","2014","30/06/2014","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",3401608,0,3401608,11375910,0,11375910,"USD",3401608,0,3401608,11375910,0,11375910,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 160","2014","31/12/2014","ES","ES","154 Online Publications and Content Provider","312 China","31/03/2015","USD",2919000,0,2919000,2974172,0,2974172,"USD",2919000,0,2919000,2974172,0,2974172,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 161","2012","30/06/2012","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",10508412,0,10508412,12656341,0,12656341,"USD",10508412,0,10508412,12656341,0,12656341,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 162","2013","30/09/2013","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",1426385,0,1426385,1126890,0,1126890,"USD",1426385,0,1426385,1126890,0,1126890,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 163","2015","31/03/2015","ES","ES","33 Consumer and Business Services","312 China","31/03/2015","USD",561346,0,561346,561346,0,561346,"USD",561346,0,561346,561346,0,561346,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 7",2.83,"Company 164","2015","31/03/2015","ES","ES","12 Electronics / Computer Hardware (EC)","312 China","31/03/2015","USD",486500,0,486500,486500,0,486500,"USD",486500,0,486500,486500,0,486500,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 165","2012","31/03/2012","DC","DC","331 Business Services","312 China","31/03/2015","USD",68439122,0,68439122,73258358,0,73258358,"USD",68439122,0,68439122,73258358,0,73258358,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 166","2010","31/12/2010","PU","PU","24 Medical Devices and Equipment (MDE)","111 U.S. California","31/03/2015","USD",145386886,75816680,221203566,110318838,85058983,195377821,"USD",145386886,75816680,221203566,110318838,85058983,195377821,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 167","2010","30/06/2010","DC","PU","43 Energy","312 China","31/03/2015","USD",0,41056000,41056000,0,79409326,79409326,"USD",0,41056000,41056000,0,79409326,79409326,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 168","2010","31/12/2010","PU","PU","33 Consumer and Business Services","312 China","31/03/2015","USD",231249470,54121579,285371049,279515411,67962916,347478327,"USD",231249470,54121579,285371049,279515411,67962916,347478327,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 169","2011","30/06/2011","PU","PU","14 Software (SW)","312 China","31/03/2015","USD",79577462,0,79577462,136980653,0,136980653,"USD",79577462,0,79577462,136980653,0,136980653,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 170","2008","30/09/2008","DC","DC","321 Constructions Products","243 Italy","31/03/2015","USD",0,43336670,43336670,0,62655608,62655608,"USD",0,43336670,43336670,0,62655608,62655608,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 171","2010","30/06/2010","DC","DC","23 Biopharmaceuticals (BPH)","312 China","31/03/2015","USD",0,17625423,17625423,0,72665165,72665165,"USD",0,17625423,17625423,0,72665165,72665165,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 172","2012","31/03/2012","DC","DC","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",44103517,0,44103517,48368543,0,48368543,"USD",44103517,0,44103517,48368543,0,48368543,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 173","2011","30/09/2011","PU","PU","331 Business Services","312 China","31/03/2015","USD",8e+07,0,8e+07,107552896,15093000,122645896,"USD",8e+07,0,8e+07,107552896,15093000,122645896,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 174","2011","30/09/2011","PU","PU","11 Communications / Networking (CN)","316 Hong Kong","31/03/2015","USD",81931424,0,81931424,87512465,0,87512465,"USD",81931424,0,81931424,87512465,0,87512465,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 175","2010","30/06/2010","DC","DC","324 Vehicle and Components Manufacturers","312 China","31/03/2015","USD",2e+07,0,2e+07,51159925,2153247,53313172,"USD",2e+07,0,2e+07,51159925,2153247,53313172,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 176","2011","30/06/2011","DC","PU","334 Financial Institutions and Services","312 China","31/03/2015","USD",20378186,0,20378186,25892841,367794,26260635,"USD",20378186,0,20378186,25892841,367794,26260635,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 177","2010","31/12/2010","DC","DC","323 Food Products","312 China","31/03/2015","USD",0,9754633,9754633,0,11412038,11412038,"USD",0,9754633,9754633,0,11412038,11412038,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 178","2009","31/12/2009","PU","PU","324 Vehicle and Components Manufacturers","312 China","31/03/2015","USD",0,27720942,27720942,0,53474353,53474353,"USD",0,27720942,27720942,0,53474353,53474353,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 179","2012","31/03/2012","DC","DC","334 Financial Institutions and Services","312 China","31/03/2015","USD",154800000,0,154800000,154800000,0,154800000,"USD",154800000,0,154800000,154800000,0,154800000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 180","2012","31/03/2012","DC","DC","48 Metals & Mining","433 East Africa","31/03/2015","USD",3e+07,1e+07,4e+07,1.8e+07,1e+07,2.8e+07,"USD",3e+07,1e+07,4e+07,1.8e+07,1e+07,2.8e+07,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 181","2011","30/09/2011","PU","PU","331 Business Services","311 Japan","31/03/2015","USD",40617080,0,40617080,42201403,2370509,44571912,"USD",40617080,0,40617080,42201403,2370509,44571912,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 182","2010","30/06/2010","PU","PU","31 Retailers","312 China","31/03/2015","USD",7051282,0,7051282,3623785,615411,4239196,"USD",7051282,0,7051282,3623785,615411,4239196,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 183","2008","30/09/2008","DC","DC","328 Industrial Products","312 China","31/03/2015","USD",61414876,0,61414876,61414876,0,61414876,"USD",61414876,0,61414876,61414876,0,61414876,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 8",0.72,"Company 184","2010","30/06/2010","DC","DC","43 Energy","312 China","31/03/2015","USD",45072704,0,45072704,45072704,7799089,52871793,"USD",45072704,0,45072704,45072704,7799089,52871793,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 185","2012","30/09/2012","ES","ES","327 Consumer Products","314 India","31/03/2015","USD",3973426,0,3973426,5566801,0,5566801,"USD",3973426,0,3973426,5566801,0,5566801,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 186","2012","30/09/2012","ES","LS","14 Software (SW)","314 India","31/03/2015","USD",6e+06,0,6e+06,1,0,1,"USD",6e+06,0,6e+06,1,0,1,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 187","2012","30/09/2012","ES","ES","12 Electronics / Computer Hardware (EC)","314 India","31/03/2015","USD",10383934,0,10383934,1486159,0,1486159,"USD",10383934,0,10383934,1486159,0,1486159,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 188","2012","30/09/2012","ES","ES","14 Software (SW)","314 India","31/03/2015","USD",6359006,0,6359006,5797178,0,5797178,"USD",6359006,0,6359006,5797178,0,5797178,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 189","2012","30/09/2012","ES","LS","315 Speciality Retailers","314 India","31/03/2015","USD",10290207,0,10290207,24867960,0,24867960,"USD",10290207,0,10290207,24867960,0,24867960,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 5","2014","30/06/2014","LS","LS","155 Other Online Services","314 India","31/03/2015","USD",24495932,5166913,29662845,74854311,15000042,89854353,"USD",24495932,5166913,29662845,74854311,15000042,89854353,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 190","2012","30/09/2012","ES","ES","24 Medical Devices and Equipment (MDE)","314 India","31/03/2015","USD",4482242,0,4482242,5472855,0,5472855,"USD",4482242,0,4482242,5472855,0,5472855,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 191","2012","30/09/2012","ES","ES","14 Software (SW)","314 India","31/03/2015","USD",8782308,0,8782308,7599525,0,7599525,"USD",8782308,0,8782308,7599525,0,7599525,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 192","2012","30/09/2012","ES","ES","14 Software (SW)","314 India","31/03/2015","USD",0,3396736,3396736,0,3e+06,3e+06,"USD",0,3396736,3396736,0,3e+06,3e+06,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 193","2012","30/09/2012","LS","LS","14 Software (SW)","314 India","31/03/2015","USD",0,7382150,7382150,0,16007401,16007401,"USD",0,7382150,7382150,0,16007401,16007401,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 13","2012","30/09/2012","ES","LS","311 Apparel and Accessory Retailers","314 India","31/03/2015","USD",0,26887534,26887534,0,39662825,39662825,"USD",0,26887534,26887534,0,39662825,39662825,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 194","2012","30/09/2012","ES","ES","11 Communications / Networking (CN)","314 India","31/03/2015","USD",4566078,0,4566078,5605025,0,5605025,"USD",4566078,0,4566078,5605025,0,5605025,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 195","2012","30/09/2012","ES","ES","24 Medical Devices and Equipment (MDE)","314 India","31/03/2015","USD",21859862,0,21859862,27434446,0,27434446,"USD",21859862,0,21859862,27434446,0,27434446,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 196","2012","30/09/2012","ES","LS","12 Electronics / Computer Hardware (EC)","314 India","31/03/2015","USD",0,5e+06,5e+06,0,3250000,3250000,"USD",0,5e+06,5e+06,0,3250000,3250000,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 197","2012","30/09/2012","ES","ES","155 Other Online Services","314 India","31/03/2015","USD",10974284,0,10974284,30254506,0,30254506,"USD",10974284,0,10974284,30254506,0,30254506,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 198","2012","30/09/2012","ES","ES","155 Other Online Services","314 India","31/03/2015","USD",5874017,0,5874017,6704299,0,6704299,"USD",5874017,0,5874017,6704299,0,6704299,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 199","2012","30/09/2012","ES","ES","155 Other Online Services","314 India","31/03/2015","USD",4434456,0,4434456,8316397,0,8316397,"USD",4434456,0,4434456,8316397,0,8316397,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 200","2012","30/09/2012","ES","ES","14 Software (SW)","314 India","31/03/2015","USD",13600082,0,13600082,30998682,0,30998682,"USD",13600082,0,13600082,30998682,0,30998682,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 201","2009","30/09/2009","PU","PU","311 Apparel and Accessory Retailers","312 China","31/03/2015","USD",7079614,22992268,30071882,5116437,42839702,47956139,"USD",7079614,22992268,30071882,5116437,42839702,47956139,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 202","2010","31/03/2010","LS","LS","334 Financial Institutions and Services","312 China","31/03/2015","USD",38246000,0,38246000,54373342,0,54373342,"USD",38246000,0,38246000,54373342,0,54373342,"1","1","0","0","0"
